Congress,Committee code,ID #,Name,Maj/Min,Rank Within Party Status,Party,Date of Assignment,Date of Termination,Senior Party Member,Committee Seniority,Committee Period of Service,Committee status at end of this Congress,Committee continuity of assignment in next Congress,Appointment Citation,Committee Name,State,CD,State Name,Notes,,,,,,,,,
112,102,20920,"Pingree, Chellie",2,14,100,1/18/11,1/3/13,0,1,2,1,2,HRES39,Agriculture,2,1,ME,Transferred to Appropriations,,,,,,,,,
112,102,20706,"Courtney, Joe",2,15,100,1/18/11,1/3/13,0,1,2,1,1,HRES39,Agriculture,1,2,CT,,,,,,,,,,
112,102,20750,"Welch, Peter",2,16,100,1/18/11,1/3/13,0,1,2,1,2,HRES39,Agriculture,6,1,VT,Transferred to Energy and Commerce,,,,,,,,,
112,102,20941,"Fudge, Marcia",2,17,100,1/18/11,1/3/13,0,1,2,1,1,HRES39,Agriculture,24,11,OH,,,,,,,,,,
112,102,70810,"Sablan, Gregorio",2,18,100,1/18/11,1/3/13,0,1,2,1,2,HRES39,Agriculture,95,1,MP,Transferred to Education and the Workforce,,,,,,,,,
112,102,21102,"Sewell, Terri A.",2,19,100,1/18/11,1/3/13,0,1,2,1,2,HRES39,Agriculture,41,7,AL,Transferred to Financial Services,,,,,,,,,
112,102,29729,"McGovern, Jim",2,20,100,1/18/11,1/3/13,0,1,2,1,1,HRES39,Agriculture,3,3,MA,,,,,,,,,,
112,102,21177,"Noem, Kristi",6,1,200,6/14/11,1/3/13,0,1,2,1,1,HRES303,Agriculture,37,1,SD,Replaced Fincher,,,,,,,,,
112,102,20958,"Garamendi, John J.",7,1,100,11/29/12,1/3/13,0,1,2,1,1,HRES822,Agriculture,71,10,CA,"Transferred from Committee on Natural Resources, H6474",,,,,,,,,
112,104,14854,"Rogers, Harold",1,1,200,1/4/11,1/3/13,11,15,2,1,1,HRES6,Appropriations,51,5,KY,,,,,,,,,,
112,104,13047,"Young, C.W. Bill",1,2,200,1/4/11,1/3/13,0,20,2,1,1,HRES6,Appropriations,43,10,FL,,,,,,,,,,
112,104,14644,"Lewis, Jerry",1,3,200,1/4/11,1/3/13,0,16,2,1,0,HRES6,Appropriations,71,41,CA,Did not seek reelection,,,,,,,,,
112,104,14869,"Wolf, Frank R.",1,4,200,1/4/11,1/3/13,0,14,2,1,1,HRES6,Appropriations,40,10,VA,,,,,,,,,,
112,104,29338,"Kingston, Jack",1,5,200,1/4/11,1/3/13,0,9,2,1,1,HRES6,Appropriations,44,1,GA,,,,,,,,,,
112,104,29541,"Frelinghuysen, Rodney P.",1,6,200,1/4/11,1/3/13,0,9,2,1,1,HRES6,Appropriations,12,11,NJ,,,,,,,,,,
112,104,29522,"Latham, Tom",1,7,200,1/4/11,1/3/13,0,8,2,1,1,HRES6,Appropriations,31,4,IA,,,,,,,,,,
112,104,29701,"Aderholt, Robert",1,8,200,1/4/11,1/3/13,0,8,2,1,1,HRES6,Appropriations,41,4,AL,,,,,,,,,,
112,104,29736,"Emerson, Jo Ann",1,9,200,1/4/11,1/3/13,0,7,2,1,1,HRES6,Appropriations,34,8,MO,,,,,,,,,,
112,104,29762,"Granger, Kay",1,10,200,1/4/11,1/3/13,0,7,2,1,1,HRES6,Appropriations,49,12,TX,,,,,,,,,,
112,104,29910,"Simpson, Michael K.",1,11,200,1/4/11,1/3/13,0,5,2,1,1,HRES6,Appropriations,63,2,ID,,,,,,,,,,
112,104,20139,"Culberson, John",1,12,200,1/4/11,1/3/13,0,5,2,1,1,HRES6,Appropriations,49,7,TX,,,,,,,,,,
112,104,20111,"Crenshaw, Ander",1,13,200,1/4/11,1/3/13,0,5,2,1,1,HRES6,Appropriations,43,4,FL,,,,,,,,,,
112,104,20125,"Rehberg, Dennis",1,14,200,1/4/11,1/3/13,0,4,2,1,0,HRES6,Appropriations,64,1,MT,Unsuccessful candidate for U.S. Senate,,,,,,,,,
112,104,20356,"Carter, John R",1,15,200,1/4/11,1/3/13,0,4,2,1,1,HRES6,Appropriations,49,31,TX,,,,,,,,,,
112,104,90327,"Alexander, Rodney",1,16,200,1/4/11,1/3/13,0,4,2,1,1,HRES6,Appropriations,45,5,LA,,,,,,,,,,
112,104,29323,"Calvert, Ken",1,17,200,1/4/11,1/3/13,0,3,2,1,1,HRES6,Appropriations,71,44,CA,,,,,,,,,,
112,104,20300,"Bonner, Jo",1,18,200,1/4/11,1/3/13,0,3,2,1,1,HRES6,Appropriations,41,1,AL,,,,,,,,,,
112,104,29553,"LaTourette, Steven C.",1,19,200,1/4/11,1/3/13,0,2,2,1,0,HRES6,Appropriations,24,14,OH,Did not seek reelection,,,,,,,,,
112,104,20344,"Cole, Tom",1,20,200,1/4/11,1/3/13,0,2,2,1,1,HRES6,Appropriations,53,4,OK,,,,,,,,,,
112,104,20100,"Flake, Jeff",1,21,200,1/4/11,1/3/13,0,1,2,1,0,HRES6,Appropriations,61,6,AZ,Elected to U.S. Senate,,,,,,,,,
112,104,20316,"Diaz-Balart, Mario",1,22,200,1/4/11,1/3/13,0,1,2,1,1,HRES6,Appropriations,25,43,FL,,,,,,,,,,
112,104,20526,"Dent, Charles W.",1,23,200,1/4/11,1/3/13,0,1,2,1,1,HRES6,Appropriations,14,15,PA,,,,,,,,,,
112,104,20940,"Austria, Steve",1,24,200,1/4/11,1/3/13,0,1,2,1,0,HRES6,Appropriations,24,7,OH,Did not seek reelection,,,,,,,,,
112,104,20953,"Lummis, Cynthia M.",1,25,200,1/4/11,1/3/13,0,1,2,1,2,HRES6,Appropriations,68,1,WY,"Transferred to Oversight and Government Reform, Natural Resources, and Science, Space, and Technology",,,,,,,,,
112,104,20962,"Graves, Tom",1,26,200,1/4/11,1/3/13,0,1,2,1,1,HRES6,Appropriations,44,9,GA,,,,,,,,,,
112,104,21135,"Yoder, Kevin",1,27,200,1/4/11,1/3/13,0,1,2,1,1,HRES6,Appropriations,32,3,KS,,,,,,,,,,
112,104,21108,"Womack, Steve",1,28,200,1/4/11,1/3/13,0,1,2,1,1,HRES6,Appropriations,3,42,AR,,,,,,,,,,
112,104,21147,"Nunnelee, Alan",1,29,200,1/4/11,1/3/13,0,1,2,1,1,HRES6,Appropriations,1,46,MS,,,,,,,,,,
112,104,14413,"Dicks, Norman D.",2,1,100,1/4/11,1/3/13,21,18,2,1,0,HRES7,Appropriations,73,6,WA,Did not seek reelection,,,,,,,,,
112,104,15029,"Kaptur, Marcy",2,2,100,1/10/11,1/3/13,0,12,2,1,1,HRES31,Appropriations,24,9,OH,,,,,,,,,,
112,104,15124,"Visclosky, Peter J.",2,3,100,1/10/11,1/3/13,0,11,2,1,1,HRES31,Appropriations,22,1,IN,,,,,,,,,,
112,104,15612,"Lowey, Nita M.",2,4,100,1/10/11,1/3/13,0,10,2,1,1,HRES31,Appropriations,13,18,NY,,,,,,,,,,
112,104,29134,"Serrano, Jose E.",2,5,100,1/10/11,1/3/13,0,9,4,1,1,HRES31,Appropriations,13,16,NY,,,,,,,,,,
112,104,29109,"DeLauro, Rosa",2,6,100,1/10/11,1/3/13,0,8,4,1,1,HRES31,Appropriations,1,3,CT,,,,,,,,,,
112,104,29149,"Moran, James P., Jr.",2,7,100,1/10/11,1/3/13,0,8,4,1,1,HRES31,Appropriations,40,8,VA,,,,,,,,,,
112,104,29123,"Olver, John W.",2,8,100,1/10/11,1/3/13,0,8,4,1,0,HRES31,Appropriations,3,1,MA,Did not seek reelection,,,,,,,,,
112,104,29101,"Pastor, Ed",2,9,100,1/10/11,1/3/13,0,8,4,1,1,HRES31,Appropriations,61,4,AZ,,,,,,,,,,
112,104,15438,"Price, David E.",2,10,100,1/10/11,1/3/13,0,8,4,1,1,HRES31,Appropriations,47,4,NC,,,,,,,,,,
112,104,29380,"Hinchey, Maurice D.",2,11,100,1/10/11,1/3/13,0,7,2,1,0,HRES31,Appropriations,13,22,NY,Did not seek reelection,,,,,,,,,
112,104,29317,"Roybal-Allard, Lucille",2,12,100,1/10/11,1/3/13,0,7,2,1,1,HRES31,Appropriations,71,34,CA,,,,,,,,,,
112,104,29313,"Farr, Sam",2,13,100,1/10/11,1/3/13,0,7,2,1,1,HRES31,Appropriations,71,17,CA,,,,,,,,,,
112,104,29585,"Jackson, Jesse L., Jr.",2,14,100,1/10/11,11/21/12,0,7,2,8,0,HRES31,Appropriations,21,2,IL,"Resigned amidst federal investigation but citing person health problems, 11/21/12",,,,,,,,,
112,104,29559,"Fattah, Chaka",2,15,100,1/10/11,1/3/13,0,6,2,1,1,HRES31,Appropriations,14,2,PA,,,,,,,,,,
112,104,29742,"Rothman, Steven R.",2,16,100,1/10/11,1/3/13,0,6,2,1,0,HRES31,Appropriations,12,9,NJ,Defeated for renomination,,,,,,,,,
112,104,29339,"Bishop, Sanford D., Jr.",2,17,100,1/10/11,1/3/13,0,5,2,1,1,HRES31,Appropriations,44,2,GA,,,,,,,,,,
112,104,29778,"Lee, Barbara",2,18,100,1/10/11,1/3/13,0,3,2,1,1,HRES31,Appropriations,71,9,CA,,,,,,,,,,
112,104,20104,"Schiff, Adam",2,19,100,1/10/11,1/3/13,0,3,2,1,1,HRES31,Appropriations,71,29,CA,,,,,,,,,,
